Company Name,Address,Status
 Ecocure Solutions Private Limited ,"Ahmedabad, Gujarat, India",ACTIVE
 Jester Bath Faucets & Plumbing Private Limited ,"West Delhi, Delhi, India",ACTIVE
 Inktellect Online Services (Opc) Private Limited ,"Coimbatore, Tamil Nadu, India",ACTIVE
 Naan Fusion Private Limited ,Unreported,ACTIVE
 Shree Ramsevak Agro Foods Private Limited ,"Bhopal, Madhya Pradesh, India",ACTIVE
 Rajasamman Advertising Private Limited ,"Rupnagar, Punjab, India",ACTIVE
 Caresoul Welfare Foundation ,"Mumbai, Maharashtra, India",ACTIVE
 Asedha Agrovet Farmer Producer Company Limited ,"Buldhana, Maharashtra, India",ACTIVE
 Murari Sheetalaya Private Limited ,"Kannauj, Uttar Pradesh, India",ACTIVE
 R Chaya Farmers Producer Company Limited ,"Dhule, Maharashtra, India",ACTIVE
 Akk Bags Private Limited ,"Pune, Maharashtra, India",ACTIVE
 D&C Self Drive Cars Private Limited ,"Jaipur, Rajasthan, India",ACTIVE
 Moli Digital Global Private Limited ,"Jammu, Jammu & Kashmir, India",ACTIVE
 Paraapara Holistics (Opc) Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Sweven Ship Private Limited ,"Nagpur, Maharashtra, India",ACTIVE
 Stavanya Creation Private Limited ,"Raigarh, Maharashtra, India",ACTIVE
 Thirupati Solar Solutions Private Limited ,"Karnal, Haryana, India",ACTIVE
 Dhanipur Organic Kisan Producer Company Limited ,"Aligarh, Uttar Pradesh, India",ACTIVE
 Lawkhowa Asomi Mahila Farmers Producer Company Limited ,"Nagaon, Assam, India",ACTIVE
 Cpbm Infra Private Limited ,"Aurangabad, Maharashtra, India",ACTIVE
 Arst Infra Projects Private Limited ,"Lucknow, Uttar Pradesh, India",ACTIVE
 Precision Test House Private Limited ,"Nagpur, Maharashtra, India",ACTIVE
 Rehaklinik Foundation ,"Raigarh, Maharashtra, India",ACTIVE
 Arj Agro Foods Product Private Limited ,"Aligarh, Uttar Pradesh, India",ACTIVE
 Sliceup Property Management Private Limited ,"Ahmedabad, Gujarat, India",ACTIVE
 Xl Transit Private Limited ,"Tiruvallur, Tamil Nadu, India",ACTIVE
 Agnv Sampooran Samadhan Services Association ,"Patiala, Punjab, India",ACTIVE
 Wingmanx Adventure Technologies Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Signaturians Buildcon Private Limited ,"Patna, Bihar, India",ACTIVE
 Percentum Renewables Private Limited ,"East Delhi, Delhi, India",ACTIVE
 Nayi Chettna Mahila Producer Company Limited ,"Giridh, Jharkhand, India",ACTIVE
 Nextgen Rollers Private Limited ,"Mumbai, Maharashtra, India",ACTIVE
 Syntac Communication Private Limited ,"South West Delhi, Delhi, India",ACTIVE
 Poineering Digital Systems (Opc) Private Limited ,"North Tripura, Tripura, India",ACTIVE
 Smartag Distribution India Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Krushimanas Farmer Producer Company Limited ,"Kolhapur, Maharashtra, India",ACTIVE
 Shoorveer Telemedicine Healthcare Private Limited ,"South West Delhi, Delhi, India",ACTIVE
 Emerald Mine Wealth Academy Private Limited ,"Kolhapur, Maharashtra, India",ACTIVE
